x,y,z,cos alpha,cos beta
0.02,0.75,-0.1115,1,1
-0.005521,0.792399,-0.109417,1,1
-0.053958,0.791497,-0.107333,1,1
-0.076875,0.75,-0.10525,1,1
-0.052917,0.710307,-0.103167,1,1
-0.007604,0.711209,-0.101083,1,1
0.01375,0.75,-0.099,1,1
-0.008646,0.786987,-0.096917,1,1
-0.050833,0.786084,-0.094833,1,1
-0.070625,0.75,-0.09275,1,1
-0.049792,0.71572,-0.090667,1,1
-0.010729,0.716622,-0.088583,1,1
0.0075,0.75,-0.0865,1,1
-0.011771,0.781574,-0.084417,1,1
-0.047708,0.780672,-0.082333,1,1
-0.064375,0.75,-0.08025,1,1
-0.046667,0.721132,-0.078167,1,1
-0.013854,0.722035,-0.076083,1,1
0.00125,0.75,-0.074,1,1
-0.014896,0.776161,-0.071917,1,1
-0.044583,0.775259,-0.069833,1,1
-0.058125,0.75,-0.06775,1,1
-0.043542,0.726545,-0.065667,1,1
-0.016979,0.727447,-0.063583,1,1
-0.005,0.75,-0.0615,1,1
