x,y,z
-0.080000,0.700000,-0.111500
-0.055000,0.700000,-0.111500
-0.030000,0.700000,-0.111500
-0.005000,0.700000,-0.111500
0.020000,0.700000,-0.111500
0.020000,0.725000,-0.111500
-0.005000,0.725000,-0.111500
-0.030000,0.725000,-0.111500
-0.055000,0.725000,-0.111500
-0.080000,0.725000,-0.091500
-0.080000,0.750000,-0.091500
-0.055000,0.750000,-0.091500
-0.030000,0.750000,-0.091500
-0.005000,0.750000,-0.091500
0.020000,0.750000,-0.091500
0.020000,0.775000,-0.091500
-0.005000,0.775000,-0.091500
-0.030000,0.775000,-0.071500
-0.055000,0.775000,-0.071500
-0.080000,0.775000,-0.071500
-0.080000,0.800000,-0.071500
-0.055000,0.800000,-0.071500
-0.030000,0.800000,-0.071500
-0.005000,0.800000,-0.071500
0.020000,0.800000,-0.071500
